"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","sí, lee y escribe","atacameño (likán-antai)","mujer",161,"2015",1107
"alto hospicio","no, sólo lee","quechua","mujer",71,"2015",1107
"alto hospicio","no, ninguno","no pertenece a ningún pueblo indígena","hombre",86,"2015",1107
"alto hospicio","sí, lee y escribe","no pertenece a ningún pueblo indígena","hombre",33606,"2015",1107
"alto hospicio","no, sólo escribe","no pertenece a ningún pueblo indígena","mujer",50,"2015",1107
"alto hospicio","sí, lee y escribe","mapuche","hombre",1074,"2015",1107
"alto hospicio","sí, lee y escribe","diaguita","mujer",357,"2015",1107
"alto hospicio","no, sólo lee","no pertenece a ningún pueblo indígena","hombre",50,"2015",1107
"alto hospicio","sí, lee y escribe","mapuche","mujer",1134,"2015",1107
"alto hospicio","no, ninguno","aimara","hombre",69,"2015",1107
"alto hospicio","no, sólo lee","mapuche","hombre",38,"2015",1107
"alto hospicio","no, sólo escribe","aimara","mujer",38,"2015",1107
"alto hospicio","sí, lee y escribe","collas","mujer",38,"2015",1107
"alto hospicio","sí, lee y escribe","no pertenece a ningún pueblo indígena","mujer",34240,"2015",1107
"alto hospicio","sí, lee y escribe","aimara","mujer",4711,"2015",1107
"alto hospicio","no, sólo lee","no pertenece a ningún pueblo indígena","mujer",170,"2015",1107
"alto hospicio","no, ninguno","no pertenece a ningún pueblo indígena","mujer",193,"2015",1107
"alto hospicio","sí, lee y escribe","sin dato","mujer",54,"2015",1107
"alto hospicio","no, ninguno","aimara","mujer",36,"2015",1107
"alto hospicio","sí, lee y escribe","atacameño (likán-antai)","hombre",31,"2015",1107
"alto hospicio","sí, lee y escribe","diaguita","hombre",518,"2015",1107
"alto hospicio","sí, lee y escribe","quechua","hombre",741,"2015",1107
"alto hospicio","sí, lee y escribe","aimara","hombre",2648,"2015",1107
"alto hospicio","sí, lee y escribe","quechua","mujer",669,"2015",1107
"ancud","sí, lee y escribe","mapuche","mujer",3982,"2015",10202
"ancud","no, ninguno","mapuche","mujer",121,"2015",10202
"ancud","sí, lee y escribe","no pertenece a ningún pueblo indígena","hombre",11482,"2015",10202
"ancud","sí, lee y escribe","mapuche","hombre",3399,"2015",10202
"ancud","sí, lee y escribe","aimara","mujer",56,"2015",10202
"ancud","no, sólo lee","no pertenece a ningún pueblo indígena","mujer",93,"2015",10202
"ancud","no, ninguno","mapuche","hombre",109,"2015",10202
"ancud","sí, lee y escribe","kawashkar o alacalufes","mujer",29,"2015",10202
"ancud","no, ninguno","no pertenece a ningún pueblo indígena","hombre",250,"2015",10202
"ancud","sí, lee y escribe","aimara","hombre",56,"2015",10202
"ancud","no, sólo lee","mapuche","mujer",89,"2015",10202
"ancud","sí, lee y escribe","no pertenece a ningún pueblo indígena","mujer",12933,"2015",10202
"ancud","no, sólo lee","no pertenece a ningún pueblo indígena","hombre",156,"2015",10202
"ancud","no, ninguno","no pertenece a ningún pueblo indígena","mujer",298,"2015",10202
"angol","no, ninguno","mapuche","mujer",23,"2015",9201
"angol","no, sólo escribe","mapuche","mujer",61,"2015",9201
"angol","no, sólo escribe","no pertenece a ningún pueblo indígena","hombre",23,"2015",9201
"angol","no, sólo lee","no pertenece a ningún pueblo indígena","mujer",226,"2015",9201
"angol","sí, lee y escribe","aimara","mujer",99,"2015",9201
"angol","sí, lee y escribe","atacameño (likán-antai)","mujer",23,"2015",9201
"angol","sí, lee y escribe","mapuche","hombre",1030,"2015",9201
"angol","sí, lee y escribe","no pertenece a ningún pueblo indígena","hombre",15172,"2015",9201
"angol","sí, lee y escribe","mapuche","mujer",1019,"2015",9201
"angol","no, ninguno","no pertenece a ningún pueblo indígena","mujer",914,"2015",9201
"angol","no, ninguno","no pertenece a ningún pueblo indígena","hombre",658,"2015",9201
"angol","no, sólo lee","no pertenece a ningún pueblo indígena","hombre",100,"2015",9201
"angol","sí, lee y escribe","aimara","hombre",119,"2015",9201
"angol","sí, lee y escribe","no pertenece a ningún pueblo indígena","mujer",18883,"2015",9201
"angol","sí, lee y escribe","collas","hombre",172,"2015",9201
"antofagasta","sí, lee y escribe","atacameño (likán-antai)","mujer",759,"2015",2101
"antofagasta","no, sólo lee","no pertenece a ningún pueblo indígena","mujer",284,"2015",2101
"antofagasta","no, sólo lee","no pertenece a ningún pueblo indígena","hombre",364,"2015",2101
"antofagasta","sí, lee y escribe","mapuche","mujer",2600,"2015",2101
"antofagasta","sí, lee y escribe","aimara","mujer",853,"2015",2101
"antofagasta","sí, lee y escribe","no pertenece a ningún pueblo indígena","hombre",127031,"2015",2101
"antofagasta","sí, lee y escribe","atacameño (likán-antai)","hombre",484,"2015",2101
"antofagasta","sí, lee y escribe","diaguita","mujer",1213,"2015",2101
"antofagasta","no, ninguno","no pertenece a ningún pueblo indígena","hombre",807,"2015",2101
