"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","no tiene con quien dejar a los niños","perú","mujer",28,"2013",1107
"alto hospicio","quehaceres del hogar","perú","mujer",33,"2013",1107
"angol","no tiene con quien dejar a adultos mayores","argentina","mujer",30,"2013",9201
"antofagasta","no tiene con quien dejar a los niños","colombia","mujer",67,"2013",2101
"antofagasta","estudiante","argentina","hombre",24,"2013",2101
"arica","quehaceres del hogar","perú","mujer",56,"2013",15101
"arica","no tiene con quien dejar a los niños","bolivia","mujer",45,"2013",15101
"arica","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","bolivia","mujer",12,"2013",15101
"arica","otra razón","bolivia","mujer",104,"2013",15101
"arica","no tiene con quien dejar a los niños","perú","mujer",29,"2013",15101
"aysén","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","argentina","hombre",13,"2013",11201
"aysén","está enfermo o tiene una discapacidad","argentina","mujer",15,"2013",11201
"aysén","las reglas, horarios y distancias de los trabajos no le acomodan","brasil","mujer",12,"2013",11201
"calama","quehaceres del hogar","bolivia","mujer",484,"2013",2201
"calama","no tiene con quien dejar a los niños","bolivia","mujer",40,"2013",2201
"calama","no tiene con quien dejar a los niños","perú","mujer",60,"2013",2201
"calbuco","las reglas, horarios y distancias de los trabajos no le acomodan","paraguay","mujer",28,"2013",10102
"calera","quehaceres del hogar","argentina","mujer",477,"2013",5502
"dalcahue","jubilado(a), pensionado(a) o montepiada","argentina","mujer",32,"2013",10205
"estación central","quehaceres del hogar","cuba","mujer",90,"2013",13106
"estación central","otra razón","perú","mujer",37,"2013",13106
"estación central","otra razón","colombia","mujer",37,"2013",13106
"estación central","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","italia","mujer",90,"2013",13106
"independencia","tiene otra fuente de ingreso (seguro cesantía, mesadas, rentas, transferencias del estado, etc.)","argentina","hombre",30,"2013",13108
"iquique","quehaceres del hogar","colombia","mujer",51,"2013",1101
"iquique","no tiene con quien dejar a los niños","perú","mujer",21,"2013",1101
"iquique","no tiene con quien dejar a los niños","colombia","mujer",17,"2013",1101
"iquique","no tiene con quien dejar a los niños","bolivia","mujer",83,"2013",1101
"la florida","quehaceres del hogar","argentina","mujer",187,"2013",13110
"la florida","quehaceres del hogar","perú","mujer",294,"2013",13110
"la serena","otra razón","colombia","mujer",58,"2013",4101
"las condes","no tiene con quien dejar a los niños","argentina","mujer",370,"2013",13114
"lo barnechea","no tiene interés de trabajar","méxico","mujer",182,"2013",13115
"lo prado","quehaceres del hogar","perú","mujer",136,"2013",13117
"los Álamos","no tiene con quien dejar a los niños","argentina","mujer",153,"2013",8206
"los andes","quehaceres del hogar","argentina","mujer",69,"2013",5301
"los andes","ofrecen sueldos muy bajos","argentina","mujer",53,"2013",5301
"macul","no tiene interés de trabajar","españa","hombre",53,"2013",13118
"maipú","quehaceres del hogar","italia","mujer",207,"2013",13119
"maipú","quehaceres del hogar","argentina","mujer",358,"2013",13119
"marchihue","tiene otra fuente de ingreso (seguro cesantía, mesadas, rentas, transferencias del estado, etc.)","uruguay","mujer",15,"2013",6204
"marchihue","tiene otra fuente de ingreso (seguro cesantía, mesadas, rentas, transferencias del estado, etc.)","uruguay","hombre",15,"2013",6204
"panguipulli","no tiene con quien dejar a los niños","argentina","mujer",68,"2013",14108
"pudahuel","piensa que nadie le dará trabajo (porque no cuenta con la capacitación requerida, por su edad, etc.)","argentina","mujer",88,"2013",13124
"puente alto","no tiene con quien dejar a los niños","perú","mujer",257,"2013",13201
"punta arenas","no tiene con quien dejar a los niños","argentina","mujer",25,"2013",12101
"punta arenas","quehaceres del hogar","argentina","mujer",15,"2013",12101
"quellón","quehaceres del hogar","argentina","mujer",77,"2013",10208
"quilicura","no tiene con quien dejar a los niños","colombia","mujer",398,"2013",13125
"quilicura","no tiene con quien dejar a los niños","perú","mujer",167,"2013",13125
"quilicura","está enfermo o tiene una discapacidad","perú","mujer",167,"2013",13125
"recoleta","no tiene con quien dejar a los niños","perú","mujer",271,"2013",13127
"san antonio","quehaceres del hogar","argentina","mujer",44,"2013",5601
"san bernardo","las reglas, horarios y distancias de los trabajos no le acomodan","perú","mujer",139,"2013",13401
"san miguel","no tiene con quien dejar a adultos mayores","venezuela","mujer",126,"2013",13130
"san miguel","no tiene con quien dejar a los niños","italia","mujer",191,"2013",13130
"san pedro de la paz","no tiene con quien dejar a los niños","argentina","mujer",99,"2013",8108
"temuco","quehaceres del hogar","uruguay","mujer",52,"2013",9101
"tomé","está enfermo o tiene una discapacidad","españa","mujer",44,"2013",8111
"valparaíso","busca cuando lo necesita o tiene trabajo esporádico","estados unidos","hombre",90,"2013",5101
"viña del mar","jubilado(a), pensionado(a) o montepiada","venezuela","mujer",81,"2013",5109
"viña del mar","estudiante","estados unidos","mujer",42,"2013",5109
"vitacura","está enfermo o tiene una discapacidad","bolivia","hombre",42,"2013",13132
"yumbel","quehaceres del hogar","argentina","mujer",81,"2013",8313
