"unlist.a.","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"aisén ","una jornada completa","mapuche ","mujer",355,"2006",11201
"aisén ","sin dato","no pertenece a ningún pueblo indígena","mujer",35,"2006",11201
"aisén ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",575,"2006",11201
"aisén ","jornada parcial","mapuche ","hombre",27,"2006",11201
"aisén ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",3510,"2006",11201
"aisén ","una jornada completa","mapuche ","hombre",443,"2006",11201
"aisén ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",338,"2006",11201
"aisén ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",1609,"2006",11201
"aisén ","una jornada completa","kawaskar","mujer",35,"2006",11201
"aisén ","jornada parcial","mapuche ","mujer",8,"2006",11201
"algarrobo ","una jornada completa","atacameño","hombre",30,"2006",5602
"algarrobo ","una jornada completa","mapuche ","hombre",3,"2006",5602
"algarrobo ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",824,"2006",5602
"algarrobo ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",81,"2006",5602
"algarrobo ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",350,"2006",5602
"algarrobo ","jornada parcial","mapuche ","mujer",16,"2006",5602
"algarrobo ","una jornada completa","mapuche ","mujer",16,"2006",5602
"algarrobo ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",1517,"2006",5602
"alhué ","sin dato","no pertenece a ningún pueblo indígena","hombre",40,"2006",13502
"alhué ","una jornada completa","mapuche ","mujer",3,"2006",13502
"alhué ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",334,"2006",13502
"alhué ","una jornada completa","mapuche ","hombre",13,"2006",13502
"alhué ","jornada parcial","mapuche ","hombre",3,"2006",13502
"alhué ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",909,"2006",13502
"alhué ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",50,"2006",13502
"alhué ","sin dato","no pertenece a ningún pueblo indígena","mujer",29,"2006",13502
"alhué ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",21,"2006",13502
"alto bío bío ","jornada parcial","mapuche ","hombre",14,"2006",8314
"alto bío bío ","jornada parcial","mapuche ","mujer",45,"2006",8314
"alto bío bío ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",55,"2006",8314
"alto bío bío ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",368,"2006",8314
"alto bío bío ","una jornada completa","mapuche ","hombre",477,"2006",8314
"alto bío bío ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",80,"2006",8314
"alto bío bío ","una jornada completa","mapuche ","mujer",187,"2006",8314
"alto bío bío ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",58,"2006",8314
"alto del carmen ","sin dato","no pertenece a ningún pueblo indígena","mujer",7,"2006",3302
"alto del carmen ","una jornada completa","diaguita","hombre",217,"2006",3302
"alto del carmen ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",20,"2006",3302
"alto del carmen ","sin dato","no pertenece a ningún pueblo indígena","hombre",7,"2006",3302
"alto del carmen ","jornada parcial","diaguita","hombre",7,"2006",3302
"alto del carmen ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",24,"2006",3302
"alto del carmen ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",790,"2006",3302
"alto del carmen ","una jornada completa","diaguita","mujer",92,"2006",3302
"alto del carmen ","una jornada completa","aymara","mujer",9,"2006",3302
"alto del carmen ","jornada parcial","diaguita","mujer",4,"2006",3302
"alto del carmen ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",424,"2006",3302
"alto hospicio ","una jornada completa","quechua ","mujer",36,"2006",1107
"alto hospicio ","jornada parcial","aymara","mujer",144,"2006",1107
"alto hospicio ","jornada parcial","aymara","hombre",103,"2006",1107
"alto hospicio ","una jornada completa","sin dato","hombre",308,"2006",1107
"alto hospicio ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",9930,"2006",1107
"alto hospicio ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",1133,"2006",1107
"alto hospicio ","una jornada completa","aymara","hombre",1003,"2006",1107
"alto hospicio ","una jornada completa","aymara","mujer",479,"2006",1107
"alto hospicio ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",665,"2006",1107
"alto hospicio ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",3593,"2006",1107
"alto hospicio ","sin dato","aymara","mujer",74,"2006",1107
"ancud ","una jornada completa","mapuche ","mujer",667,"2006",10202
"ancud ","una jornada completa","mapuche ","hombre",925,"2006",10202
"ancud ","sin dato","no pertenece a ningún pueblo indígena","hombre",63,"2006",10202
"ancud ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",804,"2006",10202
"ancud ","jornada parcial","mapuche ","hombre",39,"2006",10202
"ancud ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",4099,"2006",10202
"ancud ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",3592,"2006",10202
"ancud ","jornada parcial","mapuche ","mujer",66,"2006",10202
"ancud ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",990,"2006",10202
"andacollo ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",138,"2006",4103
"andacollo ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",50,"2006",4103
"andacollo ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",1577,"2006",4103
"andacollo ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",343,"2006",4103
"angol ","una jornada completa","mapuche ","hombre",499,"2006",9201
"angol ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",7637,"2006",9201
"angol ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",5336,"2006",9201
"angol ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",576,"2006",9201
"angol ","jornada parcial","mapuche ","mujer",59,"2006",9201
"angol ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",869,"2006",9201
"angol ","una jornada completa","mapuche ","mujer",116,"2006",9201
"angol ","una jornada completa","sin dato","hombre",59,"2006",9201
"antofagasta ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",9692,"2006",2101
"antofagasta ","jornada parcial","mapuche ","mujer",306,"2006",2101
"antofagasta ","sin dato","no pertenece a ningún pueblo indígena","mujer",311,"2006",2101
"antofagasta ","sin dato","no pertenece a ningún pueblo indígena","hombre",1486,"2006",2101
"antofagasta ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",11208,"2006",2101
"antofagasta ","una jornada completa","mapuche ","mujer",549,"2006",2101
"antofagasta ","jornada parcial","aymara","hombre",250,"2006",2101
"antofagasta ","una jornada completa","aymara","hombre",585,"2006",2101
"antofagasta ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",59993,"2006",2101
"antofagasta ","una jornada completa","mapuche ","hombre",876,"2006",2101
"antofagasta ","una jornada completa","no pertenece a ningún pueblo indígena","mujer",29438,"2006",2101
"antofagasta ","una jornada completa","diaguita","hombre",306,"2006",2101
"antuco ","jornada parcial","no pertenece a ningún pueblo indígena","hombre",29,"2006",8302
"antuco ","sin dato","no pertenece a ningún pueblo indígena","mujer",5,"2006",8302
"antuco ","una jornada completa","mapuche ","mujer",5,"2006",8302
"antuco ","una jornada completa","no pertenece a ningún pueblo indígena","hombre",534,"2006",8302
"antuco ","jornada parcial","no pertenece a ningún pueblo indígena","mujer",37,"2006",8302
"antuco ","jornada parcial","mapuche ","hombre",5,"2006",8302
