"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","jornada completa","mapuche","hombre",194,"2011",5602
"algarrobo","jornada completa","no pertenece a ningún pueblo indígena","mujer",465,"2011",5602
"algarrobo","jornada completa","no pertenece a ningún pueblo indígena","hombre",1324,"2011",5602
"algarrobo","otra","no pertenece a ningún pueblo indígena","hombre",194,"2011",5602
"algarrobo","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",82,"2011",5602
"algarrobo","jornada completa","mapuche","mujer",388,"2011",5602
"algarrobo","jornada parcial","no pertenece a ningún pueblo indígena","mujer",225,"2011",5602
"algarrobo","jornada parcial","mapuche","hombre",194,"2011",5602
"alhué","jornada parcial","no pertenece a ningún pueblo indígena","mujer",184,"2011",13502
"alhué","jornada completa","no pertenece a ningún pueblo indígena","mujer",468,"2011",13502
"alhué","jornada prolongada","no pertenece a ningún pueblo indígena","mujer",90,"2011",13502
"alhué","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",134,"2011",13502
"alhué","jornada completa","mapuche","hombre",27,"2011",13502
"alhué","jornada completa","no pertenece a ningún pueblo indígena","hombre",854,"2011",13502
"alhué","jornada completa","mapuche","mujer",49,"2011",13502
"alto biobío","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",32,"2011",8314
"alto biobío","jornada completa","no pertenece a ningún pueblo indígena","mujer",207,"2011",8314
"alto biobío","jornada completa","mapuche","mujer",477,"2011",8314
"alto biobío","jornada completa","no pertenece a ningún pueblo indígena","hombre",391,"2011",8314
"alto biobío","jornada parcial","no pertenece a ningún pueblo indígena","mujer",82,"2011",8314
"alto biobío","jornada completa","mapuche","hombre",1319,"2011",8314
"alto biobío","jornada parcial","mapuche","hombre",233,"2011",8314
"alto del carmen","jornada completa","diaguita","mujer",129,"2011",3302
"alto del carmen","jornada parcial","diaguita","mujer",7,"2011",3302
"alto del carmen","jornada prolongada","diaguita","hombre",11,"2011",3302
"alto del carmen","jornada parcial","no pertenece a ningún pueblo indígena","mujer",39,"2011",3302
"alto del carmen","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",99,"2011",3302
"alto del carmen","jornada completa","no pertenece a ningún pueblo indígena","hombre",509,"2011",3302
"alto del carmen","jornada completa","diaguita","hombre",171,"2011",3302
"alto del carmen","jornada completa","no pertenece a ningún pueblo indígena","mujer",320,"2011",3302
"alto del carmen","jornada prolongada","diaguita","mujer",11,"2011",3302
"alto del carmen","jornada prolongada","no pertenece a ningún pueblo indígena","mujer",11,"2011",3302
"alto del carmen","jornada parcial","no pertenece a ningún pueblo indígena","hombre",51,"2011",3302
"alto hospicio","jornada completa","rapa nui (pascuense)","hombre",15,"2011",1107
"alto hospicio","jornada parcial","diaguita","hombre",10,"2011",1107
"alto hospicio","jornada prolongada","mapuche","hombre",147,"2011",1107
"alto hospicio","jornada parcial","aymara","hombre",70,"2011",1107
"alto hospicio","jornada prolongada","no pertenece a ningún pueblo indígena","mujer",1129,"2011",1107
"alto hospicio","jornada prolongada","aymara","hombre",261,"2011",1107
"alto hospicio","jornada completa","diaguita","hombre",45,"2011",1107
"alto hospicio","jornada completa","aymara","mujer",657,"2011",1107
"alto hospicio","jornada parcial","no pertenece a ningún pueblo indígena","hombre",1963,"2011",1107
"alto hospicio","jornada completa","quechua","mujer",63,"2011",1107
"alto hospicio","jornada completa","aymara","hombre",711,"2011",1107
"alto hospicio","jornada completa","diaguita","mujer",53,"2011",1107
"alto hospicio","jornada parcial","diaguita","mujer",19,"2011",1107
"alto hospicio","jornada completa","quechua","hombre",69,"2011",1107
"alto hospicio","jornada parcial","mapuche","hombre",12,"2011",1107
"alto hospicio","jornada completa","atacameño (likán antai)","hombre",25,"2011",1107
"alto hospicio","jornada completa","mapuche","mujer",497,"2011",1107
"alto hospicio","otra","aymara","mujer",46,"2011",1107
"alto hospicio","otra","no pertenece a ningún pueblo indígena","hombre",436,"2011",1107
"alto hospicio","jornada prolongada","atacameño (likán antai)","mujer",10,"2011",1107
"alto hospicio","jornada parcial","quechua","mujer",18,"2011",1107
"alto hospicio","jornada completa","mapuche","hombre",184,"2011",1107
"alto hospicio","jornada prolongada","mapuche","mujer",28,"2011",1107
"alto hospicio","jornada parcial","atacameño (likán antai)","mujer",24,"2011",1107
"alto hospicio","jornada prolongada","diaguita","hombre",41,"2011",1107
"alto hospicio","jornada parcial","mapuche","mujer",25,"2011",1107
"alto hospicio","jornada completa","no pertenece a ningún pueblo indígena","hombre",8552,"2011",1107
"alto hospicio","jornada prolongada","aymara","mujer",16,"2011",1107
"alto hospicio","jornada prolongada","quechua","hombre",10,"2011",1107
"alto hospicio","jornada completa","no pertenece a ningún pueblo indígena","mujer",5402,"2011",1107
"alto hospicio","jornada completa","coya","hombre",67,"2011",1107
"alto hospicio","otra","mapuche","hombre",21,"2011",1107
"alto hospicio","otra","no pertenece a ningún pueblo indígena","mujer",137,"2011",1107
"alto hospicio","jornada parcial","aymara","mujer",152,"2011",1107
"alto hospicio","jornada parcial","quechua","hombre",38,"2011",1107
"alto hospicio","otra","aymara","hombre",154,"2011",1107
"alto hospicio","jornada parcial","no pertenece a ningún pueblo indígena","mujer",1320,"2011",1107
"alto hospicio","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",3084,"2011",1107
"ancud","jornada completa","mapuche","mujer",717,"2011",10202
"ancud","jornada completa","no pertenece a ningún pueblo indígena","hombre",3384,"2011",10202
"ancud","jornada parcial","mapuche","mujer",112,"2011",10202
"ancud","jornada completa","no pertenece a ningún pueblo indígena","mujer",3567,"2011",10202
"ancud","jornada parcial","no pertenece a ningún pueblo indígena","mujer",913,"2011",10202
"ancud","jornada prolongada","mapuche","mujer",55,"2011",10202
"ancud","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",495,"2011",10202
"ancud","jornada parcial","mapuche","hombre",58,"2011",10202
"ancud","jornada prolongada","no pertenece a ningún pueblo indígena","mujer",71,"2011",10202
"ancud","jornada parcial","no pertenece a ningún pueblo indígena","hombre",162,"2011",10202
"ancud","jornada prolongada","mapuche","hombre",137,"2011",10202
"ancud","jornada completa","mapuche","hombre",817,"2011",10202
"andacollo","jornada completa","diaguita","hombre",25,"2011",4103
"andacollo","jornada prolongada","no pertenece a ningún pueblo indígena","hombre",174,"2011",4103
"andacollo","jornada completa","mapuche","hombre",28,"2011",4103
