"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","no sabe","mapuche","mujer",194,"2011",5602
"algarrobo","no está cotizando","no pertenece a ningún pueblo indígena","hombre",2237,"2011",5602
"algarrobo","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","hombre",388,"2011",5602
"algarrobo","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","mujer",194,"2011",5602
"algarrobo","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","mujer",453,"2011",5602
"algarrobo","sí, afp. cotización voluntaria del trabajador independiente","no pertenece a ningún pueblo indígena","mujer",369,"2011",5602
"algarrobo","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","hombre",1324,"2011",5602
"algarrobo","no está cotizando","no pertenece a ningún pueblo indígena","mujer",1620,"2011",5602
"algarrobo","sí, afp. cotización voluntaria del trabajador independiente","no pertenece a ningún pueblo indígena","hombre",537,"2011",5602
"alhué","no está cotizando","no pertenece a ningún pueblo indígena","hombre",287,"2011",13502
"alhué","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","mujer",456,"2011",13502
"alhué","no está cotizando","mapuche","mujer",27,"2011",13502
"alhué","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","hombre",27,"2011",13502
"alhué","sí, afp. cotización voluntaria del trabajador independiente","no pertenece a ningún pueblo indígena","hombre",22,"2011",13502
"alhué","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","mujer",27,"2011",13502
"alhué","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","hombre",849,"2011",13502
"alhué","no está cotizando","no pertenece a ningún pueblo indígena","mujer",454,"2011",13502
"alto biobío","no está cotizando","mapuche","hombre",1101,"2011",8314
"alto biobío","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","mujer",276,"2011",8314
"alto biobío","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","mujer",189,"2011",8314
"alto biobío","no está cotizando","no pertenece a ningún pueblo indígena","mujer",105,"2011",8314
"alto biobío","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","hombre",405,"2011",8314
"alto biobío","no está cotizando","mapuche","mujer",380,"2011",8314
"alto biobío","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","hombre",1095,"2011",8314
"alto biobío","sí, afp. cotización voluntaria del trabajador independiente","no pertenece a ningún pueblo indígena","hombre",34,"2011",8314
"alto biobío","no está cotizando","no pertenece a ningún pueblo indígena","hombre",134,"2011",8314
"alto del carmen","no está cotizando","coya","hombre",9,"2011",3302
"alto del carmen","si, ips ex inp. caja de ee. públicos, particulares, sss","no pertenece a ningún pueblo indígena","mujer",7,"2011",3302
"alto del carmen","no está cotizando","no pertenece a ningún pueblo indígena","mujer",285,"2011",3302
"alto del carmen","no está cotizando","diaguita","hombre",160,"2011",3302
"alto del carmen","si, ips ex inp. caja de ee. públicos, particulares, sss","no pertenece a ningún pueblo indígena","hombre",18,"2011",3302
"alto del carmen","no está cotizando","diaguita","mujer",218,"2011",3302
"alto del carmen","no está cotizando","no pertenece a ningún pueblo indígena","hombre",392,"2011",3302
"alto del carmen","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","hombre",475,"2011",3302
"alto del carmen","sí, afp. cotización obligatoria del trabajador dependiente","diaguita","mujer",129,"2011",3302
"alto del carmen","sí, otra","no pertenece a ningún pueblo indígena","hombre",7,"2011",3302
"alto del carmen","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","mujer",272,"2011",3302
"alto del carmen","sí, afp. cotización obligatoria del trabajador dependiente","diaguita","hombre",158,"2011",3302
"alto del carmen","sí, dirección de previsión de carabineros","no pertenece a ningún pueblo indígena","hombre",24,"2011",3302
"alto hospicio","no sabe","no pertenece a ningún pueblo indígena","mujer",214,"2011",1107
"alto hospicio","sí, afp. cotización voluntaria del trabajador independiente","aymara","hombre",19,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","quechua","hombre",99,"2011",1107
"alto hospicio","no está cotizando","atacameño (likán antai)","mujer",11,"2011",1107
"alto hospicio","no está cotizando","quechua","hombre",10,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","rapa nui (pascuense)","hombre",15,"2011",1107
"alto hospicio","no sabe","aymara","hombre",57,"2011",1107
"alto hospicio","sí, caja de previsión de la defensa nacional","no pertenece a ningún pueblo indígena","mujer",8,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","quechua","mujer",23,"2011",1107
"alto hospicio","si, ips ex inp. caja de ee. públicos, particulares, sss","no pertenece a ningún pueblo indígena","mujer",67,"2011",1107
"alto hospicio","no está cotizando","mapuche","hombre",104,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","diaguita","mujer",39,"2011",1107
"alto hospicio","sí, afp. cotización voluntaria del trabajador independiente","mapuche","hombre",30,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","hombre",317,"2011",1107
"alto hospicio","no está cotizando","aymara","hombre",418,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","aymara","hombre",988,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","diaguita","hombre",96,"2011",1107
"alto hospicio","si, ips ex inp. caja de ee. públicos, particulares, sss","aymara","hombre",10,"2011",1107
"alto hospicio","si, ips ex inp. caja de ee. públicos, particulares, sss","no pertenece a ningún pueblo indígena","hombre",40,"2011",1107
"alto hospicio","no está cotizando","diaguita","hombre",27,"2011",1107
"alto hospicio","no está cotizando","aymara","mujer",617,"2011",1107
"alto hospicio","si, ips ex inp. caja de ee. públicos, particulares, sss","mapuche","hombre",11,"2011",1107
"alto hospicio","no está cotizando","no pertenece a ningún pueblo indígena","mujer",5821,"2011",1107
"alto hospicio","sí, dirección de previsión de carabineros","no pertenece a ningún pueblo indígena","hombre",54,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","atacameño (likán antai)","mujer",10,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","hombre",12557,"2011",1107
"alto hospicio","no está cotizando","quechua","mujer",99,"2011",1107
"alto hospicio","no está cotizando","no pertenece a ningún pueblo indígena","hombre",4147,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","mapuche","mujer",515,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","no pertenece a ningún pueblo indígena","mujer",6635,"2011",1107
"alto hospicio","no está cotizando","mapuche","mujer",160,"2011",1107
"alto hospicio","no sabe","mapuche","hombre",11,"2011",1107
"alto hospicio","no sabe","aymara","mujer",9,"2011",1107
"alto hospicio","sí, otra","no pertenece a ningún pueblo indígena","hombre",28,"2011",1107
"alto hospicio","no está cotizando","diaguita","mujer",71,"2011",1107
"alto hospicio","sí, afp. cotización voluntaria del trabajador independiente","no pertenece a ningún pueblo indígena","hombre",182,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","aymara","mujer",785,"2011",1107
"alto hospicio","sí, caja de previsión de la defensa nacional","no pertenece a ningún pueblo indígena","hombre",181,"2011",1107
"alto hospicio","sí, afp. cotización obligatoria del trabajador dependiente","atacameño (likán antai)","hombre",11,"2011",1107
"alto hospicio","sí, caja de previsión de la defensa nacional","mapuche","mujer",15,"2011",1107
"alto hospicio","sí, afp. cotización voluntaria del trabajador independiente","atacameño (likán antai)","hombre",14,"2011",1107
"alto hospicio","sí, afp. cotización voluntaria del trabajador independiente","no pertenece a ningún pueblo indígena","mujer",248,"2011",1107
