"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"algarrobo","sólo entiende","mapuche","hombre",194,"2011",5602
"algarrobo","no habla ni entiende","mapuche","hombre",194,"2011",5602
"algarrobo","sólo entiende","mapuche","mujer",388,"2011",5602
"alhué","sólo entiende","mapuche","mujer",18,"2011",13502
"alhué","no habla ni entiende","mapuche","mujer",54,"2011",13502
"alhué","no habla ni entiende","mapuche","hombre",27,"2011",13502
"alhué","habla y entiende","mapuche","mujer",22,"2011",13502
"alto biobío","habla y entiende","mapuche","hombre",2396,"2011",8314
"alto biobío","habla y entiende","mapuche","mujer",2280,"2011",8314
"alto biobío","sólo entiende","mapuche","mujer",1104,"2011",8314
"alto biobío","sólo entiende","mapuche","hombre",934,"2011",8314
"alto biobío","no habla ni entiende","mapuche","mujer",1467,"2011",8314
"alto biobío","no habla ni entiende","mapuche","hombre",869,"2011",8314
"alto del carmen","no habla ni entiende","mapuche","mujer",22,"2011",3302
"alto del carmen","sólo entiende","diaguita","mujer",9,"2011",3302
"alto del carmen","sólo entiende","diaguita","hombre",45,"2011",3302
"alto del carmen","no habla ni entiende","diaguita","mujer",774,"2011",3302
"alto del carmen","no habla ni entiende","diaguita","hombre",625,"2011",3302
"alto del carmen","no habla ni entiende","coya","hombre",9,"2011",3302
"alto hospicio","sólo entiende","mapuche","mujer",70,"2011",1107
"alto hospicio","sólo entiende","aymara","mujer",1216,"2011",1107
"alto hospicio","no habla ni entiende","mapuche","hombre",1338,"2011",1107
"alto hospicio","habla y entiende","rapa nui (pascuense)","hombre",16,"2011",1107
"alto hospicio","sólo entiende","quechua","mujer",107,"2011",1107
"alto hospicio","no habla ni entiende","quechua","hombre",349,"2011",1107
"alto hospicio","no habla ni entiende","diaguita","mujer",323,"2011",1107
"alto hospicio","habla y entiende","quechua","mujer",65,"2011",1107
"alto hospicio","no habla ni entiende","diaguita","hombre",269,"2011",1107
"alto hospicio","no habla ni entiende","yagán (yámana)","mujer",20,"2011",1107
"alto hospicio","habla y entiende","mapuche","hombre",124,"2011",1107
"alto hospicio","habla y entiende","aymara","hombre",577,"2011",1107
"alto hospicio","habla y entiende","mapuche","mujer",109,"2011",1107
"alto hospicio","no habla ni entiende","atacameño (likán antai)","hombre",59,"2011",1107
"alto hospicio","no habla ni entiende","coya","hombre",67,"2011",1107
"alto hospicio","habla y entiende","quechua","hombre",43,"2011",1107
"alto hospicio","no habla ni entiende","mapuche","mujer",1857,"2011",1107
"alto hospicio","no habla ni entiende","aymara","mujer",4857,"2011",1107
"alto hospicio","no habla ni entiende","atacameño (likán antai)","mujer",173,"2011",1107
"alto hospicio","no habla ni entiende","rapa nui (pascuense)","hombre",15,"2011",1107
"alto hospicio","sólo entiende","quechua","hombre",8,"2011",1107
"alto hospicio","habla y entiende","aymara","mujer",813,"2011",1107
"alto hospicio","no habla ni entiende","aymara","hombre",4282,"2011",1107
"alto hospicio","sólo entiende","mapuche","hombre",33,"2011",1107
"alto hospicio","sólo entiende","aymara","hombre",1332,"2011",1107
"alto hospicio","no habla ni entiende","quechua","mujer",536,"2011",1107
"ancud","no habla ni entiende","aymara","hombre",23,"2011",10202
"ancud","no habla ni entiende","mapuche","mujer",4271,"2011",10202
"ancud","no habla ni entiende","mapuche","hombre",3580,"2011",10202
"ancud","sólo entiende","mapuche","mujer",175,"2011",10202
"ancud","sólo entiende","mapuche","hombre",34,"2011",10202
"andacollo","no habla ni entiende","aymara","mujer",19,"2011",4103
"andacollo","no habla ni entiende","mapuche","hombre",28,"2011",4103
"andacollo","no habla ni entiende","diaguita","hombre",50,"2011",4103
"andacollo","no habla ni entiende","diaguita","mujer",75,"2011",4103
"angol","no habla ni entiende","atacameño (likán antai)","hombre",48,"2011",9201
"angol","no habla ni entiende","atacameño (likán antai)","mujer",24,"2011",9201
"angol","sólo entiende","mapuche","hombre",444,"2011",9201
"angol","no habla ni entiende","mapuche","mujer",2131,"2011",9201
"angol","sólo entiende","mapuche","mujer",321,"2011",9201
"angol","no habla ni entiende","mapuche","hombre",2219,"2011",9201
"angol","habla y entiende","mapuche","hombre",330,"2011",9201
"angol","habla y entiende","mapuche","mujer",466,"2011",9201
"antofagasta","no habla ni entiende","diaguita","mujer",1111,"2011",2101
"antofagasta","habla y entiende","mapuche","mujer",218,"2011",2101
"antofagasta","habla y entiende","mapuche","hombre",158,"2011",2101
"antofagasta","no habla ni entiende","coya","mujer",89,"2011",2101
"antofagasta","habla y entiende","aymara","hombre",17,"2011",2101
"antofagasta","sólo entiende","mapuche","mujer",139,"2011",2101
"antofagasta","no habla ni entiende","atacameño (likán antai)","mujer",1213,"2011",2101
"antofagasta","no habla ni entiende","rapa nui (pascuense)","hombre",16,"2011",2101
"antofagasta","no habla ni entiende","mapuche","mujer",2568,"2011",2101
"antofagasta","no habla ni entiende","atacameño (likán antai)","hombre",1328,"2011",2101
"antofagasta","no habla ni entiende","mapuche","hombre",2379,"2011",2101
"antofagasta","no habla ni entiende","coya","hombre",117,"2011",2101
"antofagasta","habla y entiende","aymara","mujer",36,"2011",2101
"antofagasta","no habla ni entiende","quechua","mujer",227,"2011",2101
"antofagasta","no habla ni entiende","rapa nui (pascuense)","mujer",16,"2011",2101
"antofagasta","no habla ni entiende","diaguita","hombre",958,"2011",2101
"antofagasta","no habla ni entiende","aymara","mujer",991,"2011",2101
"antofagasta","sólo entiende","aymara","hombre",38,"2011",2101
"antofagasta","no habla ni entiende","quechua","hombre",117,"2011",2101
"antofagasta","sólo entiende","mapuche","hombre",86,"2011",2101
