"a","unlist.b.","unlist.c.","unlist.d.","Freq","anio","codigo"
"alto hospicio","masculino","no pertenece a ningún pueblo indígena","hombre",10788,"2015",1107
"alto hospicio","masculino","mapuche","hombre",333,"2015",1107
"alto hospicio","masculino","mapuche","mujer",45,"2015",1107
"alto hospicio","masculino","no pertenece a ningún pueblo indígena","mujer",457,"2015",1107
"alto hospicio","femenino","no pertenece a ningún pueblo indígena","hombre",483,"2015",1107
"alto hospicio","femenino","no pertenece a ningún pueblo indígena","mujer",20508,"2015",1107
"alto hospicio","femenino","aimara","mujer",2347,"2015",1107
"alto hospicio","femenino","mapuche","mujer",712,"2015",1107
"alto hospicio","masculino","quechua","hombre",195,"2015",1107
"alto hospicio","femenino","atacameño (likán-antai)","mujer",99,"2015",1107
"alto hospicio","masculino","aimara","hombre",915,"2015",1107
"alto hospicio","femenino","diaguita","mujer",148,"2015",1107
"alto hospicio","femenino","collas","mujer",38,"2015",1107
"alto hospicio","masculino","diaguita","hombre",148,"2015",1107
"alto hospicio","femenino","sin dato","mujer",54,"2015",1107
"alto hospicio","femenino","quechua","mujer",534,"2015",1107
"alto hospicio","masculino","aimara","mujer",102,"2015",1107
"ancud","femenino","no pertenece a ningún pueblo indígena","mujer",8780,"2015",10202
"ancud","masculino","no pertenece a ningún pueblo indígena","hombre",4166,"2015",10202
"ancud","femenino","no pertenece a ningún pueblo indígena","hombre",530,"2015",10202
"ancud","masculino","mapuche","hombre",960,"2015",10202
"ancud","femenino","kawashkar o alacalufes","mujer",29,"2015",10202
"ancud","masculino","aimara","hombre",56,"2015",10202
"ancud","masculino","no pertenece a ningún pueblo indígena","mujer",291,"2015",10202
"ancud","femenino","mapuche","hombre",57,"2015",10202
"ancud","masculino","mapuche","mujer",202,"2015",10202
"ancud","femenino","aimara","mujer",56,"2015",10202
"ancud","femenino","mapuche","mujer",2586,"2015",10202
"angol","masculino","no pertenece a ningún pueblo indígena","hombre",6200,"2015",9201
"angol","masculino","aimara","hombre",23,"2015",9201
"angol","femenino","mapuche","mujer",565,"2015",9201
"angol","masculino","mapuche","hombre",385,"2015",9201
"angol","femenino","no pertenece a ningún pueblo indígena","hombre",53,"2015",9201
"angol","masculino","no pertenece a ningún pueblo indígena","mujer",300,"2015",9201
"angol","femenino","no pertenece a ningún pueblo indígena","mujer",12834,"2015",9201
"angol","femenino","aimara","mujer",31,"2015",9201
"antofagasta","masculino","mapuche","hombre",1900,"2015",2101
"antofagasta","femenino","diaguita","mujer",1021,"2015",2101
"antofagasta","masculino","aimara","hombre",96,"2015",2101
"antofagasta","masculino","collas","hombre",102,"2015",2101
"antofagasta","femenino","aimara","mujer",649,"2015",2101
"antofagasta","femenino","no pertenece a ningún pueblo indígena","mujer",85581,"2015",2101
"antofagasta","femenino","no pertenece a ningún pueblo indígena","hombre",2164,"2015",2101
"antofagasta","masculino","atacameño (likán-antai)","hombre",154,"2015",2101
"antofagasta","masculino","no pertenece a ningún pueblo indígena","hombre",37807,"2015",2101
"antofagasta","femenino","mapuche","mujer",1713,"2015",2101
"antofagasta","masculino","no pertenece a ningún pueblo indígena","mujer",2271,"2015",2101
"antofagasta","femenino","atacameño (likán-antai)","mujer",580,"2015",2101
"arauco","femenino","mapuche","mujer",646,"2015",8202
"arauco","femenino","no pertenece a ningún pueblo indígena","mujer",11210,"2015",8202
"arauco","masculino","mapuche","hombre",532,"2015",8202
"arauco","masculino","no pertenece a ningún pueblo indígena","mujer",138,"2015",8202
"arauco","femenino","no pertenece a ningún pueblo indígena","hombre",140,"2015",8202
"arauco","masculino","no pertenece a ningún pueblo indígena","hombre",6779,"2015",8202
"arica","femenino","quechua","mujer",409,"2015",15101
"arica","femenino","collas","mujer",172,"2015",15101
"arica","femenino","aimara","mujer",7418,"2015",15101
"arica","masculino","aimara","hombre",3251,"2015",15101
"arica","femenino","aimara","hombre",54,"2015",15101
"arica","masculino","diaguita","hombre",159,"2015",15101
"arica","masculino","no pertenece a ningún pueblo indígena","mujer",302,"2015",15101
"arica","femenino","mapuche","mujer",590,"2015",15101
"arica","masculino","no pertenece a ningún pueblo indígena","hombre",19277,"2015",15101
"arica","masculino","kawashkar o alacalufes","mujer",84,"2015",15101
"arica","femenino","no pertenece a ningún pueblo indígena","hombre",228,"2015",15101
"arica","masculino","quechua","hombre",101,"2015",15101
"arica","femenino","no pertenece a ningún pueblo indígena","mujer",28768,"2015",15101
"arica","masculino","mapuche","hombre",376,"2015",15101
"arica","femenino","diaguita","mujer",414,"2015",15101
